cod pro;Razão Social;Nome Fantasia;ativo;Série do Fabricante;cod Produto;Descrição pro;Contrato;Setor;Responsável;Data Movimento;Num.OS;Observação;Envio / Retorno;Val Cobrado
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1034;PE07BXEX;1022;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;25/03/2024;1347;;Retorno;219,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1129;PE06B97X;10332;NOTEBOOK LENOVO THINKPAD E14 G1 CORE I7;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;25/03/2024;1333;;Envio;342,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1390;JK115V3;10226;NOTEBOOK DELL LATITUDE 5420 CORE I5 SSD;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;25/03/2024;1345;;Retorno;340,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1432;PE0A9QNY;10232;NOTEBOOK LENOVO THINKPAD T14 G2 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;25/03/2024;1329;;Retorno;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2345;PE082REV;1040;NOTEBOOK LENOVO THINKPAD T14 RYZEN 7 G1;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;25/03/2024;1332;;Envio;342,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1417;PE0A78K2;1031;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I7;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;26/03/2024;1337;;Envio;342,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1442;4K115V3;10226;NOTEBOOK DELL LATITUDE 5420 CORE I5 SSD;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;26/03/2024;1358;;Envio;340,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;1684;PE08LJMG;1031;NOTEBOOK LENOVO THINKPAD E14 G2 CORE I7;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;*;26/03/2024;1338;;Envio;342,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2266;PE0BXFXE;1067;NOTEBOOK LENOVO THINKPAD E14 G4 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;26/03/2024;1349;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2277;PE0BXG0C;1067;NOTEBOOK LENOVO THINKPAD E14 G4 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;26/03/2024;1349;;Envio;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2294;PE0BXFY5;1070;NOTEBOOK LENOVO THINKPAD E14 G4 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;26/03/2024;1348;;Retorno;260,00
36;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;K2 PARTNERING SOLUTIONS;2334;SPE0BXG4A;1067;NOTEBOOK LENOVO THINKPAD E14 G4 CORE I5;51;K2 PARTNERING SOLUTIONS DO BRASIL CONSUL;;26/03/2024;1349;;Envio;260,00
